timestamp,client_addr,msg_type,StoreLocationID,POSTransactionID,TenderAmount,UPC,Description
2025-12-30T14:42:27.357295,"('10.5.50.2', 54621)",GetLoyaltyOnlineStatusRequest,46476,,,,
2025-12-30T14:42:27.481255,"('10.5.50.2', 54621)",FinalizeRewardsRequest,46476,7748,3.01,027000388150,Hunts Tomatoi Paste
2025-12-30T14:42:48.130828,"('10.5.50.2', 54621)",BeginCustomerRequest,46476,,,,
2025-12-30T14:42:52.070583,"('10.5.50.2', 54621)",CancelTransactionRequest,46476,,,,
2025-12-30T14:42:54.017865,"('10.5.50.2', 54621)",BeginCustomerRequest,46476,,,,
2025-12-30T14:43:17.410341,"('10.5.50.2', 54621)",FinalizeRewardsRequest,46476,7748,3.01,027000388150,Hunts Tomatoi Paste
2025-12-30T14:43:27.390447,"('10.5.50.2', 54621)",GetLoyaltyOnlineStatusRequest,46476,,,,
2025-12-30T14:43:29.401816,"('10.5.50.2', 54621)",GetRewardsRequest,46476,3585,,026100005783,NEWPORT SHORT SOFTPACK
2025-12-30T14:43:38.196302,"('10.5.50.2', 54621)",GetRewardsRequest,46476,3585,,026100005783,NEWPORT SHORT SOFTPACK
2025-12-30T14:43:45.199378,"('10.5.50.2', 54621)",CancelTransactionRequest,46476,,,,
2025-12-30T14:43:47.104794,"('10.5.50.2', 54621)",BeginCustomerRequest,46476,,,,
2025-12-30T14:43:59.167214,"('10.5.50.2', 54621)",GetRewardsRequest,46476,3586,,026100005783,NEWPORT SHORT SOFTPACK
2025-12-30T14:44:02.052344,"('10.5.50.2', 54621)",GetRewardsRequest,46476,3586,,026100005783,NEWPORT SHORT SOFTPACK
2025-12-30T14:44:07.438024,"('10.5.50.2', 54621)",FinalizeRewardsRequest,46476,7748,3.01,027000388150,Hunts Tomatoi Paste
2025-12-30T14:44:27.411227,"('10.5.50.2', 54621)",GetLoyaltyOnlineStatusRequest,46476,,,,
2025-12-30T14:44:40.023620,"('10.5.50.2', 54621)",GetRewardsRequest,46476,3586,,026100005783,NEWPORT SHORT SOFTPACK
2025-12-30T14:44:57.466816,"('10.5.50.2', 54621)",FinalizeRewardsRequest,46476,7748,3.01,027000388150,Hunts Tomatoi Paste
2025-12-30T14:45:22.058445,"('10.5.50.2', 54621)",CancelTransactionRequest,46476,,,,
2025-12-30T14:45:24.051680,"('10.5.50.2', 54621)",BeginCustomerRequest,46476,,,,
2025-12-30T14:45:27.436540,"('10.5.50.2', 54621)",GetLoyaltyOnlineStatusRequest,46476,,,,
2025-12-30T14:45:34.252150,"('10.5.50.2', 54621)",GetRewardsRequest,46476,3587,,026100005783,NEWPORT SHORT SOFTPACK
2025-12-30T14:45:36.800080,"('10.5.50.2', 54621)",GetRewardsRequest,46476,3587,,026100005783,NEWPORT SHORT SOFTPACK
2025-12-30T14:45:47.484955,"('10.5.50.2', 54621)",FinalizeRewardsRequest,46476,7748,3.01,027000388150,Hunts Tomatoi Paste
2025-12-30T14:45:47.899160,"('10.5.50.2', 54621)",CancelTransactionRequest,46476,,,,
2025-12-30T14:45:49.424070,"('10.5.50.2', 54621)",BeginCustomerRequest,46476,,,,
2025-12-30T14:46:02.005251,"('10.5.50.2', 54621)",GetRewardsRequest,46476,3588,,026100005783,NEWPORT SHORT SOFTPACK
2025-12-30T14:46:06.077473,"('10.5.50.2', 54621)",GetRewardsRequest,46476,3588,,026100005783,NEWPORT SHORT SOFTPACK
2025-12-30T14:46:13.777205,"('10.5.50.2', 54621)",CancelTransactionRequest,46476,,,,
2025-12-30T14:46:24.303374,"('10.5.50.2', 54621)",BeginCustomerRequest,46476,,,,
2025-12-30T14:46:27.467597,"('10.5.50.2', 54621)",GetLoyaltyOnlineStatusRequest,46476,,,,
2025-12-30T14:46:37.479927,"('10.5.50.2', 54621)",FinalizeRewardsRequest,46476,7748,3.01,027000388150,Hunts Tomatoi Paste
2025-12-30T14:46:56.132784,"('10.5.50.2', 54621)",FinalizeRewardsRequest,46476,3589,4.25,070970475436,Mike And Ike Orignail Fr
2025-12-30T14:47:26.964975,"('10.5.50.2', 54621)",EndCustomerRequest,46476,,,,
2025-12-30T14:47:27.484664,"('10.5.50.2', 54621)",GetLoyaltyOnlineStatusRequest,46476,,,,
2025-12-30T14:47:27.602612,"('10.5.50.2', 54621)",FinalizeRewardsRequest,46476,7748,3.01,027000388150,Hunts Tomatoi Paste
2025-12-30T14:47:34.577935,"('10.5.50.2', 54621)",BeginCustomerRequest,46476,,,,
2025-12-30T14:48:17.498723,"('10.5.50.2', 54621)",FinalizeRewardsRequest,46476,7748,3.01,027000388150,Hunts Tomatoi Paste
2025-12-30T14:48:21.040256,"('10.5.50.2', 54621)",FinalizeRewardsRequest,46476,3590,2.94,073800011408,Faygo Dreamin
2025-12-30T14:48:27.509577,"('10.5.50.2', 54621)",GetLoyaltyOnlineStatusRequest,46476,,,,
2025-12-30T14:48:51.862481,"('10.5.50.2', 54621)",EndCustomerRequest,46476,,,,
2025-12-30T14:49:07.508482,"('10.5.50.2', 54621)",FinalizeRewardsRequest,46476,7748,3.01,027000388150,Hunts Tomatoi Paste
2025-12-30T14:49:27.548616,"('10.5.50.2', 54621)",GetLoyaltyOnlineStatusRequest,46476,,,,
2025-12-30T14:49:54.203495,"('10.5.50.2', 54621)",BeginCustomerRequest,46476,,,,
2025-12-30T14:49:57.533363,"('10.5.50.2', 54621)",FinalizeRewardsRequest,46476,7748,3.01,027000388150,Hunts Tomatoi Paste
2025-12-30T14:50:11.635680,"('10.5.50.2', 54621)",EndCustomerRequest,46476,,,,
2025-12-30T14:50:20.534119,"('10.5.50.2', 54621)",BeginCustomerRequest,46476,,,,
2025-12-30T14:50:27.569334,"('10.5.50.2', 54621)",GetLoyaltyOnlineStatusRequest,46476,,,,
2025-12-30T14:50:33.180256,"('10.5.50.2', 54621)",GetRewardsRequest,46476,3592,,026100005783,NEWPORT SHORT SOFTPACK
2025-12-30T14:50:42.610547,"('10.5.50.2', 54621)",GetRewardsRequest,46476,3592,,026100005783,NEWPORT SHORT SOFTPACK
2025-12-30T14:50:47.538264,"('10.5.50.2', 54621)",FinalizeRewardsRequest,46476,7748,3.01,027000388150,Hunts Tomatoi Paste
2025-12-30T14:51:00.811608,"('10.5.50.2', 54621)",CancelTransactionRequest,46476,,,,
2025-12-30T14:51:01.762937,"('10.5.50.2', 54621)",BeginCustomerRequest,46476,,,,
2025-12-30T14:51:23.661378,"('10.5.50.2', 54714)",GetLoyaltyOnlineStatusRequest,46476,,,,
2025-12-30T14:51:37.544709,"('10.5.50.2', 54714)",FinalizeRewardsRequest,46476,7748,3.01,027000388150,Hunts Tomatoi Paste
